marca,producto,tipo_codigo,tipo,origen_codigo,origen,pais,alcohol,calorias,porcion,presentacion,precio
Marca_P32,Cerveza_044,2,clara artesanal,1,nacional,Colombia,4.9,111,330,269,4.05
Marca_Q40,Cerveza_045,5,baja en calorías / sin alcohol,1,nacional,Colombia,3.0,55,330,750,6.2
Marca_B17,Cerveza_046,4,cerveza normal y helada,2,importada,Chile,4.3,210,330,750,5.8
Marca_Q86,Cerveza_047,1,lager artesanal,1,nacional,Colombia,6.5,165,330,330,2.36
Marca_I47,Cerveza_048,5,baja en calorías / sin alcohol,1,nacional,Colombia,2.0,37,330,269,1.89
Marca_C61,Cerveza_049,5,baja en calorías / sin alcohol,2,importada,Chile,0.0,4,330,355,2.02
Marca_B51,Cerveza_050,2,clara artesanal,1,nacional,Colombia,4.8,110,330,269,2.37
Marca_M98,Cerveza_051,1,lager artesanal,1,nacional,Colombia,4.8,177,330,330,5.37
Marca_N94,Cerveza_052,2,clara artesanal,2,importada,España,4.9,128,330,269,5.84
Marca_S92,Cerveza_053,4,cerveza normal y helada,1,nacional,Colombia,5.4,184,330,500,4.4
Marca_O72,Cerveza_054,4,cerveza normal y helada,1,nacional,Colombia,4.3,123,330,269,0.9
Marca_Q69,Cerveza_055,1,lager artesanal,1,nacional,Colombia,5.6,141,330,473,4.25
Marca_Y27,Cerveza_056,1,lager artesanal,1,nacional,Colombia,6.1,170,330,355,6.04
Marca_T81,Cerveza_057,2,clara artesanal,1,nacional,Colombia,5.4,158,330,269,3.62
Marca_A62,Cerveza_058,4,cerveza normal y helada,1,nacional,Colombia,4.2,152,330,750,5.37
Marca_O60,Cerveza_059,1,lager artesanal,1,nacional,Colombia,5.9,137,330,750,9.49
Marca_O35,Cerveza_060,4,cerveza normal y helada,2,importada,Reino Unido,4.5,130,330,473,1.77
Marca_T81,Cerveza_061,3,lager importada,2,importada,Reino Unido,4.6,131,330,330,4.94
Marca_A63,Cerveza_062,3,lager importada,2,importada,Bélgica,5.9,149,330,473,7.89
Marca_K97,Cerveza_063,4,cerveza normal y helada,1,nacional,Colombia,5.1,173,330,355,1.65
Marca_C51,Cerveza_064,2,clara artesanal,1,nacional,Colombia,6.6,135,330,750,4.91
Marca_V37,Cerveza_065,3,lager importada,2,importada,Alemania,5.2,174,330,355,5.46
Marca_N04,Cerveza_066,4,cerveza normal y helada,1,nacional,Colombia,5.5,175,330,500,2.62
Marca_N58,Cerveza_067,4,cerveza normal y helada,1,nacional,Colombia,5.4,190,330,500,2.01
Marca_N44,Cerveza_068,4,cerveza normal y helada,1,nacional,Colombia,5.3,182,330,269,2.15
Marca_M16,Cerveza_069,2,clara artesanal,1,nacional,Colombia,6.1,143,330,473,6.76
Marca_O55,Cerveza_070,1,lager artesanal,1,nacional,Colombia,4.7,173,330,500,5.33
Marca_S26,Cerveza_071,1,lager artesanal,1,nacional,Colombia,4.4,153,330,500,3.44
Marca_B64,Cerveza_072,5,baja en calorías / sin alcohol,2,importada,Canadá,0.5,52,330,750,7.02
Marca_H50,Cerveza_073,2,clara artesanal,2,importada,España,6.0,177,330,750,15.32
Marca_Z61,Cerveza_074,3,lager importada,2,importada,Italia,5.4,159,330,269,2.53
Marca_D29,Cerveza_075,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,50,330,500,5.94
Marca_H73,Cerveza_076,1,lager artesanal,1,nacional,Colombia,6.0,168,330,269,3.43
Marca_D13,Cerveza_077,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,16,330,750,4.43
Marca_J59,Cerveza_078,1,lager artesanal,1,nacional,Colombia,5.7,159,330,355,3.07
Marca_N91,Cerveza_079,2,clara artesanal,1,nacional,Colombia,6.4,141,330,473,5.76
Marca_L30,Cerveza_080,4,cerveza normal y helada,1,nacional,Colombia,4.3,206,330,750,3.97
Marca_Q09,Cerveza_081,3,lager importada,2,importada,Chile,5.9,166,330,750,7.72
Marca_D80,Cerveza_082,2,clara artesanal,2,importada,Argentina,6.2,134,330,330,4.89
Marca_M07,Cerveza_083,3,lager importada,2,importada,Países Bajos,6.3,182,330,473,7.71
Marca_X15,Cerveza_084,2,clara artesanal,2,importada,España,5.3,117,330,330,5.36
Marca_V93,Cerveza_085,5,baja en calorías / sin alcohol,2,importada,Chile,0.0,23,330,750,10.9
Marca_N16,Cerveza_086,3,lager importada,2,importada,Perú,6.5,176,330,330,2.45
Marca_R58,Cerveza_087,4,cerveza normal y helada,2,importada,Brasil,4.5,159,330,473,1.96
Marca_B49,Cerveza_088,2,clara artesanal,1,nacional,Colombia,6.5,113,330,750,9.6
Marca_I43,Cerveza_089,1,lager artesanal,1,nacional,Colombia,6.6,142,330,330,5.49
Marca_Z82,Cerveza_090,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,40,330,355,2.26
Marca_M33,Cerveza_091,5,baja en calorías / sin alcohol,1,nacional,Colombia,3.0,29,330,269,2.42
Marca_Y20,Cerveza_092,5,baja en calorías / sin alcohol,2,importada,España,0.5,23,330,269,3.97
Marca_H53,Cerveza_093,4,cerveza normal y helada,1,nacional,Colombia,4.5,166,330,500,1.64
Marca_I80,Cerveza_094,1,lager artesanal,1,nacional,Colombia,5.6,151,330,330,7.19
Marca_V31,Cerveza_095,1,lager artesanal,1,nacional,Colombia,5.5,167,330,330,3.09
Marca_I26,Cerveza_096,4,cerveza normal y helada,2,importada,Bélgica,5.2,157,330,355,1.77
Marca_M33,Cerveza_097,3,lager importada,2,importada,Países Bajos,5.0,139,330,355,6.34
Marca_H58,Cerveza_098,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,12,330,750,4.79
Marca_G10,Cerveza_099,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,29,330,269,1.06
Marca_T45,Cerveza_100,3,lager importada,2,importada,Países Bajos,5.4,153,330,750,12.69
Marca_A42,Cerveza_101,2,clara artesanal,1,nacional,Colombia,4.6,136,330,355,2.71
Marca_C53,Cerveza_102,3,lager importada,2,importada,Perú,4.9,159,330,269,2.96
Marca_J86,Cerveza_103,1,lager artesanal,1,nacional,Colombia,5.6,178,330,269,3.73
Marca_L83,Cerveza_104,2,clara artesanal,2,importada,Argentina,6.1,155,330,473,7.95
Marca_L59,Cerveza_105,2,clara artesanal,2,importada,Reino Unido,6.6,165,330,330,5.05
Marca_L95,Cerveza_106,4,cerveza normal y helada,1,nacional,Colombia,4.1,138,330,750,5.76
Marca_Y26,Cerveza_107,3,lager importada,2,importada,España,5.2,140,330,500,4.2
Marca_W80,Cerveza_108,2,clara artesanal,2,importada,Estados Unidos,6.7,171,330,355,3.33
Marca_M67,Cerveza_109,4,cerveza normal y helada,2,importada,Irlanda,4.9,198,330,330,2.75
Marca_V42,Cerveza_110,1,lager artesanal,1,nacional,Colombia,4.6,134,330,269,5.19
Marca_V48,Cerveza_111,1,lager artesanal,1,nacional,Colombia,5.6,149,330,750,8.81
Marca_T59,Cerveza_112,3,lager importada,2,importada,Italia,4.9,120,330,500,9.41
Marca_Q85,Cerveza_113,4,cerveza normal y helada,2,importada,Brasil,4.2,136,330,355,2.07
Marca_M84,Cerveza_114,1,lager artesanal,1,nacional,Colombia,4.4,150,330,750,8.84
Marca_P37,Cerveza_115,5,baja en calorías / sin alcohol,1,nacional,Colombia,3.0,8,330,500,5.13
Marca_K79,Cerveza_116,5,baja en calorías / sin alcohol,2,importada,Países Bajos,2.0,28,330,269,3.6
Marca_L05,Cerveza_117,2,clara artesanal,2,importada,España,4.9,171,330,330,5.5
Marca_I15,Cerveza_118,2,clara artesanal,1,nacional,Colombia,5.9,145,330,750,8.08
Marca_I69,Cerveza_119,4,cerveza normal y helada,1,nacional,Colombia,5.3,177,330,500,3.31
Marca_Y11,Cerveza_120,4,cerveza normal y helada,1,nacional,Colombia,5.2,153,330,473,4.15
Marca_S85,Cerveza_121,3,lager importada,2,importada,Países Bajos,5.7,126,330,355,5.83
Marca_B17,Cerveza_122,5,baja en calorías / sin alcohol,2,importada,Estados Unidos,0.0,19,330,355,3.84
Marca_H53,Cerveza_123,3,lager importada,2,importada,Estados Unidos,4.5,120,330,500,5.16
Marca_W20,Cerveza_124,4,cerveza normal y helada,1,nacional,Colombia,4.3,199,330,473,1.72
Marca_R45,Cerveza_125,3,lager importada,2,importada,Alemania,5.8,154,330,473,8.49
Marca_B69,Cerveza_126,4,cerveza normal y helada,1,nacional,Colombia,4.9,186,330,750,3.77
Marca_N26,Cerveza_127,1,lager artesanal,1,nacional,Colombia,4.6,123,330,269,3.73
Marca_X62,Cerveza_128,3,lager importada,2,importada,Canadá,6.1,142,330,500,4.96
Marca_D34,Cerveza_129,4,cerveza normal y helada,1,nacional,Colombia,5.3,179,330,269,1.87
Marca_V67,Cerveza_130,2,clara artesanal,1,nacional,Colombia,5.1,143,330,750,5.57
Marca_X26,Cerveza_131,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,10,330,500,1.52
Marca_W86,Cerveza_132,5,baja en calorías / sin alcohol,2,importada,Chile,0.0,49,330,355,3.93
Marca_H74,Cerveza_133,4,cerveza normal y helada,1,nacional,Colombia,4.7,187,330,750,2.12
Marca_D14,Cerveza_134,5,baja en calorías / sin alcohol,2,importada,Brasil,1.5,74,330,269,2.36
Marca_B90,Cerveza_135,4,cerveza normal y helada,1,nacional,Colombia,5.5,209,330,269,0.78
Marca_C97,Cerveza_136,1,lager artesanal,1,nacional,Colombia,6.4,156,330,330,6.24
Marca_Z97,Cerveza_137,5,baja en calorías / sin alcohol,2,importada,Bélgica,0.0,26,330,330,1.57
Marca_K55,Cerveza_138,4,cerveza normal y helada,2,importada,Argentina,4.7,136,330,269,2.51
Marca_T65,Cerveza_139,2,clara artesanal,1,nacional,Colombia,6.6,116,330,750,13.52
Marca_P91,Cerveza_140,3,lager importada,2,importada,Argentina,5.7,123,330,473,3.6
Marca_G37,Cerveza_141,1,lager artesanal,1,nacional,Colombia,6.1,121,330,500,7.24
Marca_S45,Cerveza_142,4,cerveza normal y helada,2,importada,México,4.5,132,330,473,4.75
Marca_F15,Cerveza_143,5,baja en calorías / sin alcohol,1,nacional,Colombia,1.5,20,330,355,4.04
Marca_M96,Cerveza_144,5,baja en calorías / sin alcohol,2,importada,Japón,3.0,71,330,269,2.83
Marca_U30,Cerveza_145,1,lager artesanal,2,importada,México,5.2,148,330,355,4.88
Marca_O85,Cerveza_146,5,baja en calorías / sin alcohol,1,nacional,Colombia,1.5,77,330,750,2.68
Marca_W31,Cerveza_147,4,cerveza normal y helada,1,nacional,Colombia,4.7,208,330,355,2.09
Marca_Q45,Cerveza_148,3,lager importada,2,importada,República Checa,5.1,139,330,750,6.47
Marca_E39,Cerveza_149,1,lager artesanal,1,nacional,Colombia,4.7,123,330,330,5.57
Marca_A52,Cerveza_150,4,cerveza normal y helada,1,nacional,Colombia,4.3,201,330,269,1.31
Marca_M01,Cerveza_151,4,cerveza normal y helada,1,nacional,Colombia,4.3,200,330,355,1.9
Marca_U83,Cerveza_152,4,cerveza normal y helada,2,importada,Canadá,5.1,195,330,750,6.94
Marca_N32,Cerveza_153,4,cerveza normal y helada,2,importada,Países Bajos,5.0,178,330,473,2.65
Marca_V85,Cerveza_154,4,cerveza normal y helada,2,importada,Países Bajos,4.4,174,330,473,3.28
Marca_B33,Cerveza_155,5,baja en calorías / sin alcohol,1,nacional,Colombia,2.0,41,330,269,1.99
Marca_G92,Cerveza_156,4,cerveza normal y helada,1,nacional,Colombia,5.2,145,330,500,2.63
Marca_V24,Cerveza_157,3,lager importada,2,importada,México,5.8,167,330,500,6.2
Marca_A10,Cerveza_158,3,lager importada,2,importada,Bélgica,6.0,165,330,750,5.8
Marca_Q29,Cerveza_159,3,lager importada,2,importada,Canadá,5.8,165,330,500,5.18
Marca_G61,Cerveza_160,5,baja en calorías / sin alcohol,2,importada,Italia,0.0,21,330,330,4.46
Marca_E61,Cerveza_161,4,cerveza normal y helada,2,importada,España,4.5,201,330,473,3.11
Marca_Z36,Cerveza_162,2,clara artesanal,2,importada,República Checa,6.0,142,330,473,8.99
Marca_E39,Cerveza_163,2,clara artesanal,1,nacional,Colombia,5.0,172,330,473,6.62
Marca_V02,Cerveza_164,4,cerveza normal y helada,1,nacional,Colombia,5.2,161,330,330,1.97
Marca_L20,Cerveza_165,2,clara artesanal,1,nacional,Colombia,5.0,122,330,500,4.05
Marca_J26,Cerveza_166,2,clara artesanal,1,nacional,Colombia,5.6,121,330,750,13.8
Marca_H18,Cerveza_167,3,lager importada,2,importada,Reino Unido,5.6,176,330,750,13.16
Marca_X01,Cerveza_168,3,lager importada,2,importada,Estados Unidos,5.5,138,330,750,10.13
Marca_V10,Cerveza_169,1,lager artesanal,1,nacional,Colombia,6.0,173,330,750,7.47
Marca_Z13,Cerveza_170,2,clara artesanal,1,nacional,Colombia,5.9,112,330,500,3.92
Marca_D85,Cerveza_171,3,lager importada,2,importada,Japón,6.0,138,330,269,2.52
Marca_B38,Cerveza_172,3,lager importada,2,importada,Japón,6.1,190,330,330,3.34
Marca_D43,Cerveza_173,2,clara artesanal,2,importada,Brasil,5.1,144,330,500,5.99
Marca_S07,Cerveza_174,2,clara artesanal,2,importada,España,5.7,121,330,269,3.74
Marca_R79,Cerveza_175,3,lager importada,2,importada,Bélgica,4.5,144,330,473,7.63
Marca_F13,Cerveza_176,3,lager importada,2,importada,España,5.8,130,330,330,2.86
Marca_R91,Cerveza_177,4,cerveza normal y helada,2,importada,Canadá,5.2,203,330,269,1.89
Marca_B64,Cerveza_178,2,clara artesanal,1,nacional,Colombia,5.3,150,330,269,3.5
Marca_V50,Cerveza_179,4,cerveza normal y helada,1,nacional,Colombia,4.2,173,330,500,3.23
Marca_E81,Cerveza_180,4,cerveza normal y helada,2,importada,España,4.7,172,330,500,2.1
Marca_I93,Cerveza_181,1,lager artesanal,1,nacional,Colombia,6.0,125,330,269,2.27
Marca_X98,Cerveza_182,4,cerveza normal y helada,1,nacional,Colombia,5.1,126,330,355,2.95
Marca_W05,Cerveza_183,1,lager artesanal,1,nacional,Colombia,6.0,168,330,750,14.0
Marca_P78,Cerveza_184,1,lager artesanal,1,nacional,Colombia,5.9,120,330,473,4.82
Marca_L83,Cerveza_185,1,lager artesanal,1,nacional,Colombia,5.7,166,330,473,6.92
Marca_B80,Cerveza_186,1,lager artesanal,2,importada,Japón,5.2,167,330,355,6.94
Marca_J75,Cerveza_187,5,baja en calorías / sin alcohol,2,importada,Chile,3.0,77,330,750,12.63
Marca_W01,Cerveza_188,3,lager importada,2,importada,Irlanda,5.3,168,330,500,7.67
Marca_S19,Cerveza_189,2,clara artesanal,1,nacional,Colombia,4.6,115,330,355,6.76
Marca_Y93,Cerveza_190,2,clara artesanal,2,importada,Japón,5.1,120,330,500,8.38
Marca_S97,Cerveza_191,5,baja en calorías / sin alcohol,1,nacional,Colombia,1.5,7,330,750,5.79
Marca_I67,Cerveza_192,1,lager artesanal,1,nacional,Colombia,5.6,178,330,355,5.52
Marca_S73,Cerveza_193,2,clara artesanal,1,nacional,Colombia,4.7,137,330,330,2.54
Marca_C20,Cerveza_194,2,clara artesanal,2,importada,España,4.8,173,330,355,7.19
Marca_P76,Cerveza_195,2,clara artesanal,1,nacional,Colombia,4.9,112,330,269,2.11
Marca_E33,Cerveza_196,4,cerveza normal y helada,1,nacional,Colombia,5.2,174,330,269,2.55
Marca_W59,Cerveza_197,4,cerveza normal y helada,1,nacional,Colombia,5.5,168,330,269,0.73
Marca_H83,Cerveza_198,3,lager importada,2,importada,Alemania,6.2,170,330,269,3.69
Marca_B33,Cerveza_199,1,lager artesanal,2,importada,Brasil,4.7,130,330,355,8.72
Marca_Y62,Cerveza_200,5,baja en calorías / sin alcohol,1,nacional,Colombia,1.5,3,330,269,1.58
