id,edad_cliente,genero_cliente,ingresos,puntos,tiempo_membresia,num_compras,categoria_preferida,ultima_compra
134,26,Masculino,67275,100,6,50,Deportes,24519
135,29,Femenino,62563,100,5,50,Ropa,18526
136,31,Masculino,73260,100,8,50,Deportes,24179
137,48,Masculino,120497,100,6,50,Deportes,47370
138,67,Femenino,146043,100,5,50,Ropa,47184
139,18,Femenino,62146,100,5,50,Alimentos,5733
140,18,Femenino,70400,100,2,50,Ropa,26899
141,23,Otro,63030,100,8,50,Electrónica,62984
142,37,Masculino,87594,100,2,50,Hogar,58034
143,55,Otro,107312,100,6,50,Alimentos,26546
144,41,Femenino,105809,100,3,50,Hogar,36528
145,44,Otro,101859,100,8,50,Electrónica,83192
146,58,Otro,126437,100,7,50,Electrónica,65217
147,69,Masculino,135791,100,10,50,Electrónica,83991
148,47,Femenino,113233,100,3,50,Hogar,54921
149,34,Otro,97769,100,5,50,Alimentos,20465
150,54,Masculino,128088,100,8,50,Ropa,32364
151,55,Otro,125072,100,6,50,Electrónica,74008
152,45,Femenino,101679,95,4,50,Hogar,49391
153,43,Masculino,93728,100,7,50,Alimentos,24949
154,30,Otro,73998,100,3,50,Electrónica,55747
155,53,Otro,123316,100,5,50,Electrónica,70564
156,24,Femenino,78086,94,3,50,Hogar,28674
157,69,Femenino,140972,100,5,50,Ropa,47093
158,61,Otro,142245,100,7,50,Alimentos,43235
159,58,Otro,125681,87,3,50,Hogar,51291
160,36,Otro,82111,95,3,50,Hogar,36742
161,69,Femenino,131114,100,3,50,Deportes,27896
162,64,Otro,129648,100,4,50,Deportes,28573
163,45,Masculino,131656,100,5,50,Deportes,43079
164,60,Otro,124983,100,6,50,Deportes,29340
165,64,Otro,143721,100,5,50,Hogar,48640
166,41,Femenino,95274,100,7,50,Alimentos,24813
167,18,Otro,52559,100,9,50,Ropa,19551
168,36,Otro,96240,100,9,50,Ropa,30744
169,51,Femenino,119490,97,5,50,Deportes,35791
170,37,Masculino,96133,96,6,50,Alimentos,25414
171,21,Masculino,49007,57,1,23,Hogar,39199
172,19,Masculino,52815,66,1,30,Alimentos,16824
173,56,Femenino,123680,100,8,50,Hogar,48963
174,47,Otro,103470,100,4,50,Hogar,34412
175,33,Femenino,74299,100,2,50,Deportes,15194
176,34,Masculino,91228,80,1,50,Deportes,22145
177,65,Otro,150000,100,4,50,Electrónica,83584
178,67,Femenino,139940,100,7,50,Electrónica,83675
179,45,Femenino,109932,100,7,50,Alimentos,11475
180,48,Masculino,120247,100,5,50,Hogar,39130
181,49,Masculino,131054,92,3,50,Alimentos,35635
182,40,Masculino,104849,93,6,50,Electrónica,72519
183,43,Femenino,103602,97,4,50,Hogar,29748
184,27,Masculino,81957,100,7,50,Alimentos,36004
185,41,Femenino,107259,100,5,50,Hogar,41335
186,40,Otro,115197,95,6,50,Alimentos,29118
187,35,Masculino,93649,96,5,50,Electrónica,71094
188,55,Masculino,116980,99,5,50,Deportes,33279
189,45,Masculino,100187,100,4,50,Electrónica,63761
190,41,Otro,118258,88,3,50,Electrónica,87008
191,35,Masculino,107513,92,5,50,Electrónica,78621
192,63,Otro,133684,100,10,50,Electrónica,88583
193,69,Femenino,136351,100,7,50,Alimentos,36499
194,69,Masculino,150000,100,10,50,Ropa,44691
195,67,Otro,128537,100,10,50,Electrónica,90547
196,48,Masculino,109622,100,8,50,Hogar,39199
197,34,Femenino,93965,95,6,50,Hogar,41356
198,39,Masculino,97249,100,6,50,Alimentos,10679
199,45,Femenino,110954,100,10,50,Alimentos,15132
200,63,Femenino,133829,100,8,50,Ropa,48092
201,45,Masculino,115538,100,6,50,Alimentos,20845
202,25,Masculino,79167,100,5,50,Deportes,12925
203,66,Otro,138590,100,8,50,Hogar,55782
204,49,Masculino,125095,100,6,50,Hogar,61625
205,27,Masculino,53548,100,5,46,Electrónica,69676
206,34,Masculino,89237,96,2,50,Electrónica,62446
207,58,Masculino,124086,100,8,50,Deportes,40606
208,59,Femenino,120331,100,4,50,Ropa,44864
209,60,Femenino,124472,100,9,50,Hogar,57491
210,47,Otro,111493,100,8,50,Electrónica,73141
211,40,Femenino,109618,100,7,50,Ropa,39339
212,18,Otro,32237,22,1,11,Hogar,33480
213,47,Femenino,114776,100,7,50,Deportes,41205
214,33,Masculino,82942,89,2,50,Hogar,31817
215,69,Otro,136851,100,3,50,Electrónica,75743
216,26,Otro,76800,100,2,50,Electrónica,70945
217,46,Femenino,117618,84,1,50,Deportes,40471
218,55,Femenino,138537,100,5,50,Electrónica,82327
219,57,Masculino,129109,100,7,50,Ropa,55774
220,69,Masculino,135037,100,10,50,Electrónica,80447
221,62,Masculino,133860,100,8,50,Ropa,57232
222,67,Otro,140682,100,7,50,Ropa,50293
223,53,Femenino,125389,94,7,50,Deportes,62752
224,51,Femenino,111141,88,5,50,Alimentos,16115
225,54,Femenino,125989,100,6,50,Electrónica,72172
226,19,Femenino,49354,87,6,42,Hogar,34083
227,65,Masculino,150000,100,10,50,Electrónica,89495
228,53,Masculino,142192,100,6,50,Hogar,64506
229,19,Otro,39621,87,4,38,Alimentos,5355
230,56,Masculino,126689,94,6,50,Electrónica,83498
231,24,Femenino,49004,71,4,35,Electrónica,69305
232,66,Masculino,133959,100,7,50,Alimentos,36828
233,41,Femenino,106240,93,4,50,Alimentos,15568
234,29,Femenino,86653,100,5,50,Deportes,38486
235,19,Femenino,40738,30,1,17,Alimentos,22205
236,42,Otro,99488,100,6,50,Deportes,36885
237,62,Otro,115049,100,5,50,Electrónica,74823
238,64,Otro,134711,100,7,50,Alimentos,33657
239,64,Femenino,126613,100,10,50,Alimentos,32595
240,44,Femenino,104410,100,8,50,Alimentos,30345
241,41,Femenino,95508,100,8,50,Deportes,33958
242,31,Femenino,80052,91,2,50,Electrónica,56120
243,25,Otro,49180,71,5,30,Electrónica,56369
244,47,Femenino,101297,100,5,50,Hogar,34854
245,28,Otro,92338,100,5,50,Hogar,39540
246,44,Masculino,99088,100,6,50,Electrónica,70404
247,54,Otro,115304,100,8,50,Deportes,39961
248,28,Otro,89707,88,3,50,Deportes,30865
249,54,Femenino,150000,100,8,50,Deportes,42323
250,47,Masculino,105456,100,4,50,Hogar,50368
251,43,Masculino,105486,100,9,50,Electrónica,73242
252,25,Otro,68074,100,4,50,Alimentos,10174
253,49,Otro,133358,94,6,50,Alimentos,34129
254,66,Otro,128893,100,9,50,Hogar,37833
255,27,Otro,68292,100,5,50,Ropa,21726
256,46,Otro,119771,100,7,50,Ropa,48384
257,26,Masculino,73188,97,4,50,Deportes,12264
258,37,Otro,91615,100,3,50,Electrónica,73636
259,68,Masculino,139471,100,7,50,Alimentos,43785
260,39,Femenino,86926,100,5,50,Deportes,26110
261,39,Otro,97156,100,7,50,Deportes,35175
262,60,Otro,129978,95,5,50,Electrónica,84781
263,64,Otro,138265,100,10,50,Electrónica,80653
264,57,Femenino,124002,100,4,50,Electrónica,80599
265,63,Masculino,141044,100,9,50,Ropa,43884
266,53,Femenino,132914,100,8,50,Hogar,47303
267,57,Femenino,130399,83,7,50,Hogar,43452
268,23,Femenino,62466,100,3,50,Alimentos,13271
269,33,Femenino,86278,100,7,50,Deportes,38648
270,28,Femenino,73176,100,7,50,Electrónica,64134
271,69,Masculino,134806,100,7,50,Alimentos,23198
272,52,Femenino,125223,100,7,50,Ropa,35236
273,47,Femenino,113624,100,7,50,Hogar,47816
274,60,Femenino,150000,100,6,50,Ropa,60623
275,22,Femenino,70535,82,3,50,Ropa,28550
276,39,Femenino,102773,90,3,50,Alimentos,17761
277,53,Femenino,116932,100,5,50,Ropa,44204
278,63,Masculino,126788,94,9,50,Ropa,43511
279,47,Femenino,125220,96,4,50,Electrónica,72166
280,53,Femenino,126165,98,3,50,Ropa,32330
281,61,Femenino,137721,100,7,50,Hogar,60650
282,34,Masculino,73974,100,5,50,Ropa,10838
283,33,Masculino,95647,98,4,50,Electrónica,73358
284,43,Masculino,112890,100,5,50,Electrónica,69632
285,63,Femenino,125306,96,4,50,Deportes,33962
286,51,Masculino,118156,100,4,50,Ropa,49979
287,31,Masculino,84773,84,1,50,Ropa,22185
288,56,Masculino,129747,100,4,50,Hogar,41132
289,38,Masculino,96045,100,8,50,Deportes,32955
290,43,Masculino,107869,94,4,50,Electrónica,73580
291,45,Femenino,108732,100,6,50,Ropa,34796
292,62,Femenino,135748,100,6,50,Hogar,38304
293,45,Femenino,124243,99,4,50,Deportes,30522
294,47,Femenino,91400,100,1,50,Ropa,37731
295,18,Femenino,42043,68,5,33,Electrónica,61634
296,56,Femenino,129364,100,6,50,Deportes,42959
297,40,Masculino,105539,100,2,50,Deportes,28298
298,39,Masculino,97453,100,4,50,Deportes,25587
299,59,Masculino,116990,100,5,50,Alimentos,37598
300,55,Femenino,129452,100,3,50,Alimentos,25505
301,52,Femenino,137921,100,6,50,Alimentos,28735
302,50,Femenino,105570,100,3,50,Hogar,46809
303,59,Femenino,139074,100,8,50,Electrónica,77056
304,50,Femenino,116418,100,9,50,Electrónica,73555
305,32,Masculino,84323,100,4,50,Deportes,27149
306,48,Masculino,108199,100,2,50,Deportes,30764
307,26,Femenino,64765,100,1,50,Hogar,29238
308,54,Femenino,136875,100,6,50,Electrónica,94231
309,64,Femenino,141419,92,3,50,Alimentos,32025
310,50,Masculino,136466,100,6,50,Deportes,24846
311,53,Masculino,135897,99,4,50,Electrónica,79641
312,30,Masculino,83827,100,7,50,Deportes,30224
313,69,Femenino,150000,100,6,50,Electrónica,83018
314,44,Masculino,114626,100,4,50,Alimentos,26014
315,68,Femenino,146627,100,9,50,Electrónica,84710
316,20,Femenino,47706,80,4,33,Electrónica,61090
317,18,Femenino,44774,35,1,18,Electrónica,66552
318,23,Femenino,53023,78,4,40,Electrónica,56830
319,61,Masculino,143806,100,7,50,Hogar,45606
320,34,Masculino,79070,100,6,50,Ropa,51993
321,43,Femenino,114341,86,3,50,Deportes,28213
322,46,Masculino,112559,98,3,50,Hogar,41501
323,55,Masculino,138541,100,4,50,Ropa,32516
324,30,Masculino,86633,100,4,50,Hogar,36442
325,41,Masculino,121286,100,3,50,Hogar,36345
326,59,Masculino,139377,100,6,50,Alimentos,29088
327,50,Masculino,106727,100,7,50,Ropa,45727
328,41,Femenino,102797,100,5,50,Alimentos,25780
329,68,Masculino,130127,99,5,50,Alimentos,32961
330,28,Masculino,70010,100,4,50,Alimentos,1271
331,30,Masculino,93476,100,4,50,Alimentos,32114
332,38,Masculino,104413,97,1,50,Deportes,20517
333,21,Masculino,48610,50,3,33,Deportes,33374
334,58,Masculino,122552,100,9,50,Alimentos,38330
335,60,Masculino,134170,100,6,50,Alimentos,34987
336,40,Masculino,91926,100,8,50,Alimentos,16902
337,58,Masculino,125635,100,5,50,Alimentos,28974
338,42,Masculino,109683,100,7,50,Hogar,40819
339,28,Femenino,83573,100,9,50,Deportes,32102
340,48,Masculino,123154,92,6,50,Alimentos,26573
341,31,Masculino,61778,100,6,50,Electrónica,47439
342,69,Femenino,142539,100,7,50,Ropa,54790
343,32,Masculino,85523,100,6,50,Hogar,36795
344,41,Masculino,108625,100,4,50,Hogar,37469
345,33,Masculino,101846,94,6,50,Ropa,32327
346,62,Femenino,115806,100,10,50,Electrónica,81082
347,38,Femenino,91855,100,5,50,Deportes,23614
348,39,Femenino,104618,100,4,50,Hogar,24123
349,44,Masculino,96441,100,5,50,Deportes,33812
350,56,Femenino,141059,100,7,50,Electrónica,85219
351,68,Masculino,143990,100,6,50,Alimentos,31886
352,47,Femenino,122119,100,5,50,Electrónica,67041
353,61,Masculino,129762,100,8,50,Hogar,50518
354,63,Masculino,144124,100,6,50,Deportes,33064
355,38,Masculino,108291,100,7,50,Deportes,28593
356,32,Masculino,86971,83,7,50,Ropa,28452
357,49,Masculino,121410,100,5,50,Ropa,45815
358,57,Masculino,132933,96,3,50,Electrónica,73112
359,50,Masculino,113105,91,3,50,Alimentos,19795
360,38,Masculino,97347,100,5,50,Electrónica,82861
361,28,Femenino,71802,100,3,50,Electrónica,63563
362,21,Masculino,58351,74,5,45,Hogar,33766
363,26,Masculino,78273,99,1,50,Hogar,28049
364,63,Masculino,127273,100,9,50,Deportes,38128
365,21,Masculino,53775,99,2,47,Hogar,11399
366,19,Masculino,62133,93,5,50,Ropa,32575
367,65,Femenino,130308,100,5,50,Ropa,45164
368,53,Femenino,116400,100,10,50,Hogar,47460
369,63,Masculino,138621,100,6,50,Deportes,41044
370,23,Femenino,66899,100,7,50,Electrónica,69081
371,20,Masculino,51978,55,1,29,Alimentos,1793
372,39,Femenino,111261,93,6,50,Deportes,31362
373,30,Masculino,87586,85,2,50,Electrónica,55900
374,64,Masculino,145251,100,7,50,Deportes,56984
375,33,Femenino,90787,100,4,50,Alimentos,24746
376,25,Femenino,85949,98,4,50,Electrónica,50045
377,46,Masculino,112429,100,4,50,Hogar,31172
378,45,Femenino,92968,100,5,50,Hogar,37209
379,41,Femenino,117838,100,7,50,Ropa,37750
380,59,Masculino,128681,100,6,50,Deportes,30368
381,67,Femenino,139471,100,10,50,Deportes,59821
382,68,Masculino,150000,100,4,50,Electrónica,82902
383,65,Masculino,124080,100,6,50,Deportes,41867
384,46,Masculino,103010,95,3,50,Hogar,33682
385,38,Masculino,84263,100,4,50,Deportes,32119
386,69,Masculino,134153,100,8,50,Alimentos,30278
387,51,Femenino,124857,100,9,50,Electrónica,77744
388,25,Femenino,69718,94,2,50,Electrónica,63877
389,34,Masculino,92161,88,4,50,Deportes,17540
390,37,Masculino,83785,94,2,50,Electrónica,74128
391,67,Femenino,117709,95,5,50,Deportes,37303
392,28,Masculino,75164,87,4,50,Hogar,41863
393,55,Femenino,122254,100,7,50,Ropa,34580
394,69,Femenino,143934,100,10,50,Ropa,43808
395,69,Femenino,146118,100,6,50,Hogar,43657
396,54,Masculino,127919,100,6,50,Alimentos,31209
397,23,Masculino,67641,99,6,50,Electrónica,63567
398,48,Masculino,119738,100,8,50,Deportes,36258
399,19,Femenino,52071,80,6,45,Alimentos,5799
400,41,Femenino,97058,94,2,50,Ropa,22243
401,32,Masculino,83258,100,5,50,Electrónica,65484
402,63,Masculino,138571,100,8,50,Ropa,43734
403,40,Otro,108760,99,5,50,Alimentos,19096
404,36,Masculino,90731,100,7,50,Alimentos,32432
405,21,Masculino,59591,54,1,35,Hogar,30112
406,29,Otro,73407,100,8,50,Hogar,45368
407,24,Otro,61117,100,3,50,Alimentos,6819
408,40,Otro,108841,100,7,50,Ropa,40628
409,63,Femenino,117362,100,7,50,Hogar,45555
410,20,Femenino,38707,46,4,20,Hogar,21333
411,43,Femenino,93960,80,3,50,Ropa,41370
412,61,Masculino,113897,97,10,50,Ropa,42172
413,19,Femenino,41196,28,2,12,Hogar,39433
414,69,Femenino,146545,100,8,50,Alimentos,30627
415,57,Masculino,127936,99,7,50,Alimentos,29307
416,38,Masculino,100455,100,4,50,Deportes,24850
417,52,Masculino,133678,100,10,50,Hogar,61480
418,51,Femenino,132849,100,10,50,Ropa,49811
419,64,Masculino,137053,100,7,50,Ropa,48201
420,46,Masculino,126457,100,5,50,Hogar,55616
421,46,Femenino,113604,100,4,50,Ropa,45143
422,56,Masculino,121738,100,7,50,Hogar,52343
423,62,Femenino,129025,100,8,50,Electrónica,69768
424,56,Masculino,115950,100,8,50,Alimentos,23737
425,41,Masculino,96907,100,3,50,Electrónica,60046
426,40,Masculino,99653,100,7,50,Electrónica,76820
427,47,Femenino,121732,100,9,50,Deportes,42178
428,54,Masculino,142162,100,6,50,Alimentos,23115
429,20,Masculino,39435,75,5,24,Electrónica,61868
430,64,Masculino,141210,100,6,50,Hogar,40163
431,40,Masculino,93510,88,4,50,Alimentos,18892
432,29,Femenino,80072,100,2,50,Ropa,15477
433,44,Femenino,107995,100,6,50,Electrónica,76415
434,57,Masculino,114022,100,5,50,Electrónica,75794
435,32,Femenino,91730,87,2,50,Hogar,48196
436,52,Masculino,118430,100,6,50,Deportes,43133
437,48,Masculino,112870,99,5,50,Alimentos,21913
438,47,Femenino,104872,98,1,50,Electrónica,72696
439,63,Femenino,129411,100,4,50,Deportes,28028
440,23,Femenino,63151,100,7,50,Deportes,18299
441,46,Masculino,112572,100,7,50,Ropa,42135
442,26,Femenino,70733,100,2,50,Ropa,9733
443,47,Masculino,119257,100,6,50,Electrónica,75134
444,62,Masculino,147761,100,8,50,Ropa,42039
445,62,Femenino,131290,100,6,50,Alimentos,30969
446,53,Masculino,112008,100,7,50,Electrónica,67124
447,27,Masculino,81605,100,8,50,Alimentos,23399
448,31,Femenino,77917,100,7,50,Deportes,28687
449,50,Masculino,130906,100,5,50,Hogar,56971
450,48,Masculino,121125,100,4,50,Electrónica,73886
451,24,Masculino,62495,86,3,50,Alimentos,5499
452,45,Femenino,114139,100,9,50,Deportes,37448
453,30,Masculino,97434,100,6,50,Electrónica,60789
454,27,Masculino,90693,100,2,50,Hogar,37437
455,28,Masculino,75299,100,8,50,Electrónica,71057
456,61,Masculino,136342,98,5,50,Ropa,60747
457,30,Masculino,89561,100,5,50,Electrónica,62971
458,62,Masculino,128264,100,8,50,Alimentos,29664
459,30,Masculino,82873,100,5,50,Ropa,26701
460,55,Femenino,126267,100,4,50,Deportes,38548
461,41,Masculino,107725,100,6,50,Hogar,45321
462,57,Femenino,121500,92,5,50,Electrónica,74555
463,53,Masculino,110994,95,6,50,Ropa,46031
464,65,Femenino,118343,100,10,50,Deportes,36858
465,54,Femenino,115119,100,8,50,Ropa,48313
466,69,Masculino,137172,100,9,50,Ropa,51429
467,25,Masculino,63861,100,1,46,Alimentos,10321
468,54,Masculino,144110,83,3,50,Ropa,41107
469,32,Masculino,94829,100,5,50,Alimentos,37565
470,53,Masculino,116641,100,4,50,Ropa,32053
471,32,Masculino,88004,95,7,50,Alimentos,23039
472,35,Masculino,88336,100,5,50,Electrónica,61781
473,53,Femenino,121241,100,5,50,Hogar,57366
474,54,Femenino,126843,100,1,50,Alimentos,30408
475,36,Masculino,99848,93,5,50,Alimentos,17025
476,38,Masculino,95622,100,2,50,Alimentos,21355
477,42,Masculino,116450,89,7,50,Deportes,39530
478,48,Masculino,107398,99,3,50,Hogar,35955
479,58,Femenino,130232,100,8,50,Electrónica,85315
480,19,Femenino,70679,100,5,50,Ropa,30553
481,54,Masculino,128683,100,9,50,Deportes,44149
482,65,Masculino,150000,100,6,50,Ropa,47421
483,44,Femenino,109999,100,6,50,Alimentos,28208
484,40,Masculino,108102,100,5,50,Alimentos,25344
485,65,Masculino,137989,100,10,50,Hogar,54268
486,66,Masculino,137741,100,6,50,Ropa,40308
487,22,Femenino,49360,100,6,42,Hogar,43009
488,47,Masculino,119873,100,6,50,Ropa,33188
489,26,Femenino,60111,98,2,49,Hogar,30606
490,19,Femenino,53290,76,3,38,Ropa,23046
491,22,Femenino,66143,85,1,50,Alimentos,22065
492,39,Masculino,104099,99,6,50,Deportes,27461
493,51,Femenino,118324,99,3,50,Ropa,32026
494,35,Masculino,96086,100,3,50,Deportes,22089
495,59,Masculino,130022,100,6,50,Deportes,42222
496,33,Femenino,94220,97,1,50,Deportes,16822
497,56,Masculino,112792,100,7,50,Deportes,33506
498,54,Femenino,122155,100,5,50,Electrónica,60018
499,25,Masculino,48583,91,6,42,Alimentos,14650
500,47,Masculino,102544,100,5,50,Ropa,31914
501,42,Masculino,119150,100,4,50,Ropa,27953
502,61,Femenino,141457,100,8,50,Electrónica,90280
503,22,Masculino,51400,100,6,46,Electrónica,51284
504,18,Masculino,32152,33,5,18,Electrónica,68834
505,22,Masculino,31194,59,6,23,Electrónica,57620
506,66,Masculino,134384,100,7,50,Deportes,53207
507,58,Masculino,150000,100,5,50,Deportes,48961
508,48,Masculino,121589,100,7,50,Deportes,31893
509,68,Masculino,135639,100,8,50,Deportes,36875
510,19,Masculino,52986,57,2,33,Deportes,26954
511,24,Masculino,49626,92,6,39,Deportes,22279
512,33,Masculino,84624,99,8,50,Deportes,29963
513,19,Masculino,49695,73,4,37,Deportes,31638
514,69,Femenino,139025,100,3,50,Hogar,41860
515,28,Masculino,81792,100,5,50,Alimentos,18113
516,32,Masculino,87977,100,5,50,Electrónica,73629
517,18,Masculino,51690,71,1,34,Alimentos,16771
518,45,Femenino,104805,100,6,50,Alimentos,22836
519,45,Femenino,119080,100,4,50,Deportes,33330
520,38,Masculino,113335,100,3,50,Electrónica,58813
521,69,Masculino,132569,97,4,50,Hogar,39170
522,29,Femenino,67811,98,1,50,Hogar,30374
523,32,Femenino,95397,100,4,50,Electrónica,66748
524,47,Masculino,114278,95,7,50,Electrónica,75734
525,33,Femenino,98434,90,2,50,Ropa,38711
526,52,Masculino,119892,100,5,50,Ropa,31234
527,62,Femenino,147470,100,7,50,Deportes,43459
528,23,Femenino,60483,65,1,40,Ropa,25722
