id,edad_cliente,genero_cliente,ingresos,puntos,tiempo_membresia,num_compras,categoria_preferida,ultima_compra,ventas_total,transacciones,items_total,ticket_prom
60,21,Femenino,139387,1,5,7,Ropa,39958,28.44,1,1,28.44
61,23,Masculino,69133,14,6,7,Alimentos,22486,30.02,1,1,30.02
62,30,Femenino,89149,87,10,36,Ropa,17441,123.5,1,2,123.5
63,49,Femenino,79992,49,8,6,Deportes,63665,14.82,1,1,14.82
64,50,Femenino,85111,31,1,19,Electrónica,31905,54,1,2,54
65,27,Femenino,90557,36,2,2,Deportes,49455,53.2,1,6,53.2
66,32,Masculino,100270,69,3,29,Hogar,68605,74,1,2,74
67,36,Femenino,127346,75,5,7,Electrónica,33598,84.74,1,4,84.74
68,43,Femenino,87807,52,9,41,Ropa,9508,31.6,1,1,31.6
69,32,Masculino,135861,88,5,16,Electrónica,10333,144,1,6,144
70,49,Femenino,40936,32,9,49,Deportes,49562,95.2,1,4,95.2
71,23,Femenino,66376,60,1,18,Electrónica,7773,44.5,1,1,44.5
72,58,Femenino,56120,30,3,50,Alimentos,88023,52.5,1,2,52.5
73,31,Femenino,112452,21,1,5,Alimentos,55221,123.1,1,6,123.1
74,38,Femenino,102944,63,8,9,Hogar,9269,71.2,1,3,71.2
75,58,Femenino,143037,56,8,42,Alimentos,5757,107,1,4,107
76,60,Femenino,131101,68,8,28,Hogar,52295,78,1,2,78
77,49,Masculino,30708,4,1,36,Alimentos,990,47.2,1,2,47.2
78,32,Femenino,44048,20,7,10,Ropa,4155,40,1,1,40
79,30,Otro,95501,27,3,14,Alimentos,47625,22.5,1,1,22.5
80,68,Otro,45092,54,4,40,Electrónica,7386,229.5,1,17,229.5
81,65,Otro,117157,90,9,39,Electrónica,81236,145.2,1,9,145.2
82,36,Femenino,148542,60,1,17,Alimentos,1566,63.2,1,3,63.2
83,36,Femenino,99427,94,8,15,Deportes,26504,86.8,1,3,86.8
84,56,Masculino,58971,77,9,35,Electrónica,1316,37.5,1,2,37.5
85,19,Masculino,101100,43,3,14,Ropa,39236,20.8,1,1,20.8
86,31,Otro,61849,24,6,31,Hogar,1208,64.5,1,2,64.5
87,59,Masculino,47990,3,10,48,Hogar,75592,59.5,1,2,59.5
88,31,Masculino,55100,20,7,31,Deportes,5984,159.75,1,5,159.75
89,18,Otro,105470,8,7,4,Ropa,74618,31.6,1,1,31.6
90,45,Otro,63381,80,4,8,Hogar,75424,22.5,1,1,22.5
91,32,Otro,92089,16,1,47,Hogar,20986,59.91,1,3,59.91
92,39,Otro,104031,67,6,28,Hogar,93036,53.6,1,5,53.6
93,65,Masculino,62792,83,8,11,Electrónica,23058,54,1,2,54
94,46,Otro,113116,7,10,13,Ropa,19055,44.5,1,1,44.5
95,30,Otro,75926,97,10,19,Deportes,67087,49.5,1,2,49.5
96,23,Masculino,108480,46,10,21,Ropa,37731,38.5,1,2,38.5
97,63,Otro,102834,31,7,20,Electrónica,58257,80.4,1,2,80.4
98,49,Masculino,46695,99,9,26,Ropa,6747,253,1,9,253
99,21,Otro,105024,45,3,32,Deportes,79584,30.02,1,1,30.02
100,26,Femenino,59496,58,2,50,Ropa,2333,39.5,1,1,39.5
101,40,Femenino,115569,1,2,5,Alimentos,24191,31.6,1,1,31.6
102,18,Masculino,49346,70,7,38,Alimentos,12714,39.6,1,2,39.6
103,19,Masculino,75430,50,7,32,Ropa,53251,59.91,1,3,59.91
104,60,Femenino,142407,4,2,1,Deportes,2958,39.5,1,2,39.5
105,20,Otro,34982,7,2,45,Ropa,59715,47.6,1,2,47.6
106,55,Femenino,147187,37,7,27,Electrónica,94167,53.2,1,6,53.2
107,19,Otro,37993,59,6,30,Deportes,8738,95.05,1,8,95.05
108,65,Masculino,81753,72,9,21,Hogar,63363,14.82,1,1,14.82
109,57,Femenino,81695,90,8,44,Electrónica,1798,19.5,1,4,19.5
110,56,Femenino,40676,86,7,38,Hogar,62765,100.4,1,5,100.4
111,37,Masculino,111242,33,5,34,Deportes,75632,39.6,1,1,39.6
112,64,Masculino,87006,85,7,20,Ropa,93073,102.5,1,2,102.5
113,58,Masculino,82856,33,7,20,Alimentos,45072,69,1,1,69
114,32,Masculino,35514,4,5,36,Deportes,41544,118.8,1,5,118.8
115,64,Masculino,87595,11,5,21,Electrónica,6978,49.5,1,1,49.5
116,59,Masculino,125014,89,7,42,Hogar,45182,29.5,1,1,29.5
117,62,Masculino,128322,44,4,31,Electrónica,66891,18,1,1,18
118,62,Masculino,48693,36,9,44,Hogar,75567,192.8,1,5,192.8
119,33,Masculino,113154,75,8,46,Alimentos,89558,46,1,3,46
120,68,Femenino,78309,12,2,49,Ropa,84814,63.2,1,2,63.2
121,47,Femenino,112072,50,5,21,Alimentos,88419,38.5,1,2,38.5
122,43,Masculino,42855,66,6,23,Electrónica,13851,108.8,1,1,108.8
123,26,Otro,55515,29,9,37,Deportes,5057,160.4,1,9,160.4
124,30,Masculino,51454,94,8,17,Hogar,55335,31.6,1,1,31.6
125,66,Otro,69362,58,1,23,Ropa,96008,62.4,1,1,62.4
126,26,Femenino,69795,60,9,29,Electrónica,38937,84.74,1,4,84.74
127,58,Masculino,32860,90,5,18,Deportes,40505,105.5,1,5,105.5
128,40,Otro,81037,70,10,45,Electrónica,37075,58,1,4,58
129,67,Otro,40385,64,1,17,Deportes,95706,62.4,1,1,62.4
130,61,Femenino,131607,25,7,26,Ropa,71415,57.6,1,6,57.6
131,51,Masculino,42337,70,9,28,Deportes,91497,141.6,1,3,141.6
132,67,Femenino,116124,78,10,28,Hogar,1129,63.64,1,3,63.64
133,25,Otro,94016,85,8,49,Alimentos,76428,49.5,1,2,49.5
134,26,Masculino,62131,91,6,18,Deportes,7056,44.5,1,1,44.5
135,29,Femenino,100290,85,8,29,Ropa,48087,49.5,1,1,49.5
136,31,Masculino,145261,25,10,37,Deportes,3784,117.5,1,6,117.5
137,48,Masculino,81763,49,6,46,Deportes,17925,47.2,1,2,47.2
138,67,Femenino,120561,66,2,21,Ropa,7982,102.5,1,2,102.5
139,18,Femenino,99638,33,8,23,Alimentos,31627,102.4,1,1,102.4
140,18,Femenino,78097,84,3,26,Ropa,45334,23.8,1,2,23.8
141,23,Otro,67237,85,9,40,Electrónica,67302,59.5,1,2,59.5
142,37,Masculino,61695,13,5,45,Hogar,1849,29.5,1,1,29.5
143,55,Otro,101084,73,9,24,Alimentos,62481,13.23,1,5,13.23
144,41,Femenino,82613,49,3,10,Hogar,42124,78,1,2,78
145,44,Otro,122987,29,10,25,Electrónica,89868,46.5,1,2,46.5
146,58,Otro,90389,17,5,12,Electrónica,85521,102.4,1,1,102.4
147,69,Masculino,90929,2,10,29,Electrónica,5187,74,1,2,74
148,47,Femenino,104517,91,2,6,Hogar,97941,31.6,1,1,31.6
149,34,Otro,79949,89,3,19,Alimentos,27334,29.5,1,1,29.5
150,54,Masculino,100745,29,6,42,Ropa,33515,198.8,1,13,198.8
151,55,Otro,138064,86,5,22,Electrónica,36875,66,1,3,66
152,45,Femenino,79721,20,1,1,Hogar,21541,44.5,1,1,44.5
153,43,Masculino,33030,61,8,40,Alimentos,71104,75,1,1,75
154,30,Otro,78653,43,4,2,Electrónica,93373,71.2,1,3,71.2
155,53,Otro,146312,58,2,32,Electrónica,88078,56.52,1,2,56.52
156,24,Femenino,103766,77,4,25,Hogar,66321,155.32,1,5,155.32
157,69,Femenino,51990,59,2,37,Ropa,76241,25,1,1,25
158,61,Otro,46738,36,3,26,Alimentos,3936,117.5,1,6,117.5
159,58,Otro,107818,70,5,24,Hogar,72218,146.8,1,5,146.8
160,36,Otro,83511,28,5,49,Hogar,36797,49.5,1,2,49.5
161,69,Femenino,117782,18,1,15,Deportes,76255,105.5,1,5,105.5
162,64,Otro,122472,75,1,17,Deportes,77133,64.5,1,2,64.5
163,45,Masculino,76259,72,5,41,Deportes,22888,20.8,1,1,20.8
164,60,Otro,98771,37,8,42,Deportes,52037,22.42,1,1,22.42
165,64,Otro,96494,10,4,47,Hogar,18445,49.5,1,2,49.5
166,41,Femenino,48155,19,10,36,Alimentos,56665,89,1,2,89
167,18,Otro,46707,61,10,16,Ropa,186,52.5,1,2,52.5
168,36,Otro,87275,82,9,2,Ropa,1452,192.8,1,5,192.8
169,51,Femenino,58930,95,5,33,Deportes,11509,58.5,1,4,58.5
170,37,Masculino,33987,60,8,39,Alimentos,9751,146.8,1,5,146.8
171,21,Masculino,140801,13,3,43,Hogar,8288,113,1,4,113
172,19,Masculino,98446,25,4,34,Alimentos,69659,31.6,1,1,31.6
173,56,Femenino,111754,96,8,38,Hogar,63106,253,1,9,253
174,47,Otro,66932,89,5,9,Hogar,86166,141.6,1,3,141.6
175,33,Femenino,81766,86,1,16,Deportes,16011,54.5,1,3,54.5
176,34,Masculino,79572,62,2,24,Deportes,84315,65.2,1,4,65.2
177,65,Otro,123680,30,2,35,Electrónica,21874,74,1,2,74
178,67,Femenino,130300,75,5,27,Electrónica,9432,66,1,3,66
179,45,Femenino,102050,57,8,39,Alimentos,26393,56.52,1,2,56.52
180,48,Masculino,121325,30,3,35,Hogar,62436,80.4,1,2,80.4
181,49,Masculino,76202,83,3,6,Alimentos,20879,266,1,7,266
182,40,Masculino,136323,36,6,25,Electrónica,62528,58,1,4,58
183,43,Femenino,32512,95,4,49,Hogar,22339,44.5,1,1,44.5
184,27,Masculino,63313,8,10,42,Alimentos,3501,39.5,1,1,39.5
185,41,Femenino,104337,91,6,27,Hogar,40163,266,1,7,266
186,40,Otro,124138,84,10,41,Alimentos,42662,111.14,1,4,111.14
187,35,Masculino,137307,32,6,24,Electrónica,11127,159.75,1,5,159.75
188,55,Masculino,77060,14,2,16,Deportes,28679,89,1,2,89
189,45,Masculino,108335,62,1,35,Electrónica,94093,46.5,1,2,46.5
190,41,Otro,59408,68,1,16,Electrónica,50416,39.5,1,1,39.5
191,35,Masculino,100208,80,2,27,Electrónica,2373,287.59,1,10,287.59
192,63,Otro,109506,48,10,50,Electrónica,2685,118.8,1,5,118.8
193,69,Femenino,39509,10,6,27,Alimentos,37766,23.8,1,2,23.8
194,69,Masculino,74519,95,10,42,Ropa,93151,113,1,4,113
195,67,Otro,31806,79,8,13,Electrónica,26107,86.8,1,3,86.8
196,48,Masculino,108550,5,6,35,Hogar,41005,44.8,1,6,44.8
197,34,Femenino,56125,66,10,26,Hogar,61066,39.6,1,2,39.6
198,39,Masculino,116566,76,9,21,Alimentos,3238,40,1,1,40
199,45,Femenino,82014,30,10,15,Alimentos,8191,45.22,1,2,45.22
200,63,Femenino,113240,47,9,22,Ropa,27996,198.8,1,13,198.8
201,45,Masculino,111788,28,9,49,Alimentos,62843,NA,NA,NA,NA
202,25,Masculino,30570,16,8,44,Deportes,97109,NA,NA,NA,NA
203,66,Otro,106631,41,6,9,Hogar,35446,NA,NA,NA,NA
204,49,Masculino,100258,53,6,27,Hogar,43643,NA,NA,NA,NA
205,27,Masculino,132541,78,8,42,Electrónica,82501,NA,NA,NA,NA
206,34,Masculino,97962,18,3,19,Electrónica,94773,NA,NA,NA,NA
207,58,Masculino,48714,75,10,40,Deportes,32491,NA,NA,NA,NA
208,59,Femenino,70050,62,3,10,Ropa,4953,NA,NA,NA,NA
209,60,Femenino,124416,24,5,39,Hogar,54404,NA,NA,NA,NA
210,47,Otro,93783,24,10,3,Electrónica,40656,NA,NA,NA,NA
211,40,Femenino,83445,89,7,11,Ropa,35635,NA,NA,NA,NA
212,18,Otro,54421,20,1,41,Hogar,21595,NA,NA,NA,NA
213,47,Femenino,121498,29,9,28,Deportes,70637,NA,NA,NA,NA
214,33,Masculino,84883,43,2,49,Hogar,95603,NA,NA,NA,NA
215,69,Otro,127086,93,4,45,Electrónica,3399,NA,NA,NA,NA
216,26,Otro,133538,27,5,46,Electrónica,76108,NA,NA,NA,NA
217,46,Femenino,82034,19,2,45,Deportes,63593,NA,NA,NA,NA
218,55,Femenino,147024,24,9,16,Electrónica,16979,NA,NA,NA,NA
219,57,Masculino,33009,82,9,24,Ropa,56364,NA,NA,NA,NA
220,69,Masculino,142216,90,7,29,Electrónica,55973,NA,NA,NA,NA
221,62,Masculino,82623,51,8,37,Ropa,15514,NA,NA,NA,NA
222,67,Otro,64134,3,2,26,Ropa,86818,NA,NA,NA,NA
223,53,Femenino,146546,12,6,45,Deportes,91502,NA,NA,NA,NA
224,51,Femenino,33665,12,2,2,Alimentos,13907,NA,NA,NA,NA
225,54,Femenino,92156,18,7,14,Electrónica,23887,NA,NA,NA,NA
226,19,Femenino,51355,48,8,28,Hogar,27821,NA,NA,NA,NA
227,65,Masculino,89274,71,10,34,Electrónica,84045,NA,NA,NA,NA
228,53,Masculino,57651,27,7,16,Hogar,34562,NA,NA,NA,NA
229,19,Otro,52470,90,5,35,Alimentos,51599,NA,NA,NA,NA
230,56,Masculino,31154,40,4,25,Electrónica,19754,NA,NA,NA,NA
231,24,Femenino,147572,44,7,45,Electrónica,20427,NA,NA,NA,NA
232,66,Masculino,144573,41,7,24,Alimentos,666,NA,NA,NA,NA
233,41,Femenino,88312,22,6,31,Alimentos,21253,NA,NA,NA,NA
234,29,Femenino,96066,45,7,24,Deportes,47936,NA,NA,NA,NA
235,19,Femenino,41542,21,1,22,Alimentos,13288,NA,NA,NA,NA
236,42,Otro,66495,79,9,31,Deportes,53766,NA,NA,NA,NA
237,62,Otro,52480,22,3,14,Electrónica,82142,NA,NA,NA,NA
238,64,Otro,148368,19,4,23,Alimentos,94932,NA,NA,NA,NA
239,64,Femenino,124599,41,9,41,Alimentos,92418,NA,NA,NA,NA
240,44,Femenino,121975,33,6,27,Alimentos,64096,NA,NA,NA,NA
241,41,Femenino,41748,50,8,5,Deportes,3516,NA,NA,NA,NA
242,31,Femenino,125501,74,3,18,Electrónica,94776,NA,NA,NA,NA
243,25,Otro,109583,6,4,30,Electrónica,92364,NA,NA,NA,NA
244,47,Femenino,108356,84,6,19,Hogar,911,NA,NA,NA,NA
245,28,Otro,134414,19,5,15,Hogar,92201,NA,NA,NA,NA
246,44,Masculino,83880,31,6,32,Electrónica,46442,NA,NA,NA,NA
247,54,Otro,48896,28,9,25,Deportes,24479,NA,NA,NA,NA
248,28,Otro,48383,57,8,35,Deportes,1797,NA,NA,NA,NA
249,54,Femenino,134743,98,9,42,Deportes,89421,NA,NA,NA,NA
250,47,Masculino,91491,52,5,10,Hogar,2143,NA,NA,NA,NA
251,43,Masculino,89688,27,10,30,Electrónica,22364,NA,NA,NA,NA
252,25,Otro,105185,70,2,37,Alimentos,55623,NA,NA,NA,NA
253,49,Otro,129014,25,7,21,Alimentos,27152,NA,NA,NA,NA
254,66,Otro,112847,98,9,44,Hogar,82744,NA,NA,NA,NA
255,27,Otro,139589,69,8,22,Ropa,15058,NA,NA,NA,NA
256,46,Otro,38785,55,9,22,Ropa,48625,NA,NA,NA,NA
257,26,Masculino,134203,19,3,28,Deportes,93564,NA,NA,NA,NA
258,37,Otro,86856,74,3,10,Electrónica,62429,NA,NA,NA,NA
259,68,Masculino,49725,59,2,35,Alimentos,1236,NA,NA,NA,NA
260,39,Femenino,56381,82,6,19,Deportes,7596,NA,NA,NA,NA
261,39,Otro,117432,96,7,41,Deportes,2544,NA,NA,NA,NA
262,60,Otro,45827,18,2,47,Electrónica,59966,NA,NA,NA,NA
263,64,Otro,115366,68,9,28,Electrónica,93488,NA,NA,NA,NA
264,57,Femenino,31451,75,3,8,Electrónica,61179,NA,NA,NA,NA
265,63,Masculino,142287,77,10,44,Ropa,78529,NA,NA,NA,NA
266,53,Femenino,84616,68,10,8,Hogar,54331,NA,NA,NA,NA
267,57,Femenino,114972,42,9,12,Hogar,99974,NA,NA,NA,NA
268,23,Femenino,101024,29,3,41,Alimentos,48485,NA,NA,NA,NA
269,33,Femenino,118116,100,9,48,Deportes,219,NA,NA,NA,NA
270,28,Femenino,49020,75,9,49,Electrónica,10903,NA,NA,NA,NA
271,69,Masculino,47458,14,2,10,Alimentos,87432,NA,NA,NA,NA
272,52,Femenino,104033,6,5,15,Ropa,19231,NA,NA,NA,NA
273,47,Femenino,84117,74,9,17,Hogar,88608,NA,NA,NA,NA
274,60,Femenino,107232,68,4,48,Ropa,7308,NA,NA,NA,NA
275,22,Femenino,128623,88,5,20,Ropa,60957,NA,NA,NA,NA
276,39,Femenino,39931,43,1,28,Alimentos,26136,NA,NA,NA,NA
277,53,Femenino,94392,38,5,11,Ropa,99724,NA,NA,NA,NA
278,63,Masculino,48225,24,6,14,Ropa,76405,NA,NA,NA,NA
279,47,Femenino,95656,63,2,30,Electrónica,63419,NA,NA,NA,NA
280,53,Femenino,61826,96,1,14,Ropa,577,NA,NA,NA,NA
281,61,Femenino,47689,46,4,42,Hogar,80244,NA,NA,NA,NA
282,34,Masculino,68250,9,10,26,Ropa,83506,NA,NA,NA,NA
283,33,Masculino,113187,27,9,46,Electrónica,8863,NA,NA,NA,NA
284,43,Masculino,77006,27,3,36,Electrónica,22398,NA,NA,NA,NA
285,63,Femenino,121652,20,1,26,Deportes,16958,NA,NA,NA,NA
286,51,Masculino,124670,66,2,43,Ropa,1848,NA,NA,NA,NA
287,31,Masculino,119460,69,2,22,Ropa,48621,NA,NA,NA,NA
288,56,Masculino,117922,69,2,41,Hogar,9883,NA,NA,NA,NA
289,38,Masculino,84577,70,7,27,Deportes,63128,NA,NA,NA,NA
290,43,Masculino,64136,61,1,19,Electrónica,68092,NA,NA,NA,NA
291,45,Femenino,57845,32,6,41,Ropa,93434,NA,NA,NA,NA
292,62,Femenino,38250,63,5,22,Hogar,72393,NA,NA,NA,NA
293,45,Femenino,54819,72,3,47,Deportes,55344,NA,NA,NA,NA
294,47,Femenino,89077,43,1,35,Ropa,54785,NA,NA,NA,NA
295,18,Femenino,135713,79,7,18,Electrónica,87112,NA,NA,NA,NA
296,56,Femenino,129611,23,3,48,Deportes,9885,NA,NA,NA,NA
297,40,Masculino,97995,47,4,9,Deportes,10135,NA,NA,NA,NA
298,39,Masculino,132488,40,5,37,Deportes,8216,NA,NA,NA,NA
299,59,Masculino,36383,5,6,31,Alimentos,8277,NA,NA,NA,NA
300,55,Femenino,144624,38,2,23,Alimentos,65226,NA,NA,NA,NA
301,52,Femenino,106147,2,6,19,Alimentos,41265,NA,NA,NA,NA
302,50,Femenino,130668,39,5,25,Hogar,6981,NA,NA,NA,NA
303,59,Femenino,57745,33,7,42,Electrónica,49287,NA,NA,NA,NA
304,50,Femenino,78296,93,9,47,Electrónica,55916,NA,NA,NA,NA
305,32,Masculino,39407,50,6,13,Deportes,84422,NA,NA,NA,NA
306,48,Masculino,39407,82,5,27,Deportes,46307,NA,NA,NA,NA
307,26,Femenino,135530,81,2,12,Hogar,12635,NA,NA,NA,NA
308,54,Femenino,76995,14,3,46,Electrónica,68509,NA,NA,NA,NA
309,64,Femenino,96182,44,4,8,Alimentos,50931,NA,NA,NA,NA
310,50,Masculino,100320,45,7,29,Deportes,13939,NA,NA,NA,NA
311,53,Masculino,138922,45,5,22,Electrónica,15406,NA,NA,NA,NA
312,30,Masculino,143200,38,8,30,Deportes,68443,NA,NA,NA,NA
313,69,Femenino,35218,47,4,33,Electrónica,31549,NA,NA,NA,NA
314,44,Masculino,141748,55,2,50,Alimentos,89757,NA,NA,NA,NA
315,68,Femenino,62971,27,8,17,Electrónica,8545,NA,NA,NA,NA
316,20,Femenino,57260,47,2,49,Electrónica,5067,NA,NA,NA,NA
317,18,Femenino,92363,84,1,10,Electrónica,53974,NA,NA,NA,NA
318,23,Femenino,84664,45,5,12,Electrónica,59272,NA,NA,NA,NA
319,61,Masculino,47790,67,9,5,Hogar,71429,NA,NA,NA,NA
320,34,Masculino,31668,43,5,40,Ropa,11701,NA,NA,NA,NA
321,43,Femenino,78858,4,3,38,Deportes,26119,NA,NA,NA,NA
322,46,Masculino,126553,16,2,22,Hogar,8556,NA,NA,NA,NA
323,55,Masculino,80006,44,2,49,Ropa,72751,NA,NA,NA,NA
324,30,Masculino,119162,15,9,38,Hogar,93785,NA,NA,NA,NA
325,41,Masculino,71410,69,1,32,Hogar,45667,NA,NA,NA,NA
326,59,Masculino,49020,100,2,42,Alimentos,58818,NA,NA,NA,NA
327,50,Masculino,36022,11,6,49,Ropa,80159,NA,NA,NA,NA
328,41,Femenino,64634,55,9,44,Alimentos,48807,NA,NA,NA,NA
329,68,Masculino,76921,79,1,23,Alimentos,12202,NA,NA,NA,NA
330,28,Masculino,51087,60,4,42,Alimentos,6831,NA,NA,NA,NA
331,30,Masculino,90651,88,9,37,Alimentos,55541,NA,NA,NA,NA
332,38,Masculino,50518,70,1,38,Deportes,81609,NA,NA,NA,NA
333,21,Masculino,126598,14,3,1,Deportes,50598,NA,NA,NA,NA
334,58,Masculino,99475,27,9,9,Alimentos,24939,NA,NA,NA,NA
335,60,Masculino,145308,83,3,31,Alimentos,5326,NA,NA,NA,NA
336,40,Masculino,107488,96,7,16,Alimentos,8436,NA,NA,NA,NA
337,58,Masculino,60768,88,2,38,Alimentos,6752,NA,NA,NA,NA
338,42,Masculino,115381,70,7,33,Hogar,59252,NA,NA,NA,NA
339,28,Femenino,111697,92,9,50,Deportes,20558,NA,NA,NA,NA
340,48,Masculino,30374,28,7,34,Alimentos,46378,NA,NA,NA,NA
341,31,Masculino,35406,45,10,9,Electrónica,63702,NA,NA,NA,NA
342,69,Femenino,71688,69,4,25,Ropa,53223,NA,NA,NA,NA
343,32,Masculino,48445,91,8,27,Hogar,26517,NA,NA,NA,NA
344,41,Masculino,136928,42,5,33,Hogar,23972,NA,NA,NA,NA
345,33,Masculino,112118,27,10,9,Ropa,53528,NA,NA,NA,NA
346,62,Femenino,114587,14,7,11,Electrónica,2672,NA,NA,NA,NA
347,38,Femenino,42378,36,5,20,Deportes,27977,NA,NA,NA,NA
348,39,Femenino,136141,58,6,30,Hogar,21156,NA,NA,NA,NA
349,44,Masculino,32030,38,2,19,Deportes,91215,NA,NA,NA,NA
350,56,Femenino,148694,44,7,13,Electrónica,3265,NA,NA,NA,NA
351,68,Masculino,122661,16,4,48,Alimentos,8544,NA,NA,NA,NA
352,47,Femenino,54571,57,4,2,Electrónica,1383,NA,NA,NA,NA
353,61,Masculino,120516,100,10,47,Hogar,47552,NA,NA,NA,NA
354,63,Masculino,37003,57,4,25,Deportes,85768,NA,NA,NA,NA
355,38,Masculino,81837,68,5,6,Deportes,34935,NA,NA,NA,NA
356,32,Masculino,94627,88,9,30,Ropa,70394,NA,NA,NA,NA
357,49,Masculino,103191,34,5,41,Ropa,25363,NA,NA,NA,NA
358,57,Masculino,137205,18,1,21,Electrónica,86212,NA,NA,NA,NA
359,50,Masculino,85888,19,2,25,Alimentos,91052,NA,NA,NA,NA
360,38,Masculino,40590,91,7,27,Electrónica,61764,NA,NA,NA,NA
361,28,Femenino,130938,98,5,37,Electrónica,61209,NA,NA,NA,NA
362,21,Masculino,107934,32,5,38,Hogar,53318,NA,NA,NA,NA
363,26,Masculino,149741,51,4,37,Hogar,68536,NA,NA,NA,NA
364,63,Masculino,145117,66,7,12,Deportes,97102,NA,NA,NA,NA
365,21,Masculino,90000,42,4,23,Hogar,27815,NA,NA,NA,NA
366,19,Masculino,105019,84,8,32,Ropa,7353,NA,NA,NA,NA
